query,date,region,search_index,branding_mix,notable_event
peloton bike waitlist,2021-02-15,US,86,0.52,Factory backlog extends to May
mirror lululemon financing,2021-04-12,US,58,0.43,0% APR terms promoted
whoop strain coach update,2021-07-19,US,47,0.36,Coaches highlight recovery calendar
tonal trade-in credit,2021-10-11,US,51,0.38,Gyms resale attachments
hydrow wave launch,2021-11-29,US,63,0.41,Retail kiosks expand
peloton guide strength camera,2022-02-21,US,57,0.44,Connected strength bundle drops
tempo move inventory,2022-05-16,US,46,0.28,Warehouse clubs stock pallets
otonari smart rope app,2022-08-08,JP,39,0.26,Influencers share interval sets
whoop 4.0 battery swap,2022-10-24,US,42,0.25,Support teams ship replacements
lululemon studio membership,2022-12-12,US,61,0.47,Studio streaming refresh
garmin venu 3 coaching,2023-01-30,US,55,0.31,Retail staff training intensifies
peloton rowing concept store,2023-03-20,US,52,0.33,Mall demos relaunch
xponential xp+ membership,2023-06-05,US,44,0.3,Studios promote all-access pass
hydrow 30 day home trial,2023-09-11,US,49,0.29,Retention emails push challenge
whoop stress monitor beta,2023-11-06,US,63,0.34,Sleep coaches share testimonials
garmin tactix 8 rumor,2024-02-05,US,58,0.27,Dealers expect updated sensors
peloton partnership nba,2024-04-01,US,60,0.46,Fan week tie-ins drive spikes
apple watch training load,2024-06-17,US,74,0.55,WWDC recap fuels endurance interest
whoop 5.0 overnight readiness,2024-08-12,US,67,0.42,Coaches emphasize recovery chart
