query,date,region,search_index,branding_mix,notable_event
ps5 restock tracker,2021-01-11,US,88,0.35,Retailers cap walk-in allocations
xbox series x controller drift,2021-02-08,US,64,0.32,Forums cite hardware replacements
nintendo switch pro leak,2021-03-15,JP,72,0.27,Accessory makers prep OLED covers
apple macbook pro m1x rumors,2021-04-19,US,70,0.41,Developers highlight WWDC expectations
airpods 3 launch date,2021-05-17,US,58,0.52,Supplier checks cite ramp
samsung galaxy tab s8 preorder,2021-06-07,KR,61,0.44,Carrier bundles leak pricing
meta quest 2 fitness apps,2021-07-12,US,54,0.29,Studios drop new subscription packs
iphone 13 mini case renders,2021-08-23,US,63,0.47,Accessory OEMs send preview kits
amazon fire tv stick 4k max,2021-09-27,US,57,0.38,Prime Day part two planning
pixel 6 tensor launch,2021-10-18,US,69,0.36,Google store extends financing
black friday console bundles,2021-11-22,US,91,0.33,Doorbusters leaked by retailers
oculus quest 2 holiday stock,2021-12-06,US,84,0.31,Warehouse shipments accelerate
asus rog flow z13 preorder,2022-01-10,US,59,0.34,CES unveil drives channel buzz
samsung galaxy s22 nightography,2022-02-07,US,79,0.46,Carrier promos tout camera upgrades
steam deck availability,2022-03-07,US,83,0.28,Early adopters report shipping notices
sony x95k mini led review,2022-04-11,US,52,0.39,AV reviewers highlight brightness
ipad air m2 education demand,2022-05-09,US,60,0.48,School district pilots expand
beats fit pro android support,2022-06-13,US,55,0.43,Firmware update adds toggle
meta quest pro leak,2022-07-11,US,65,0.31,Component trackers cite pancake optics
iphone 14 satellite sos,2022-08-22,US,87,0.53,Carrier decks brief emergency feature
apple watch ultra alpine loop,2022-09-19,US,74,0.55,Outdoor retailers add bundle
pixel watch day one apps,2022-10-10,US,62,0.37,Wear OS devs launch marquee tiles
playstation vr2 reservation,2022-11-07,US,77,0.34,Sony invites loyalty queue
holiday console restock alert,2022-12-05,US,89,0.32,Retail push notifications surge
lg gram superlight preorder,2023-01-09,US,53,0.36,CES booths spotlight design
samsung galaxy s23 preorders,2023-02-06,US,82,0.49,Carrier incentives add storage bump
nintendo switch tears of the kingdom edition,2023-03-13,JP,85,0.31,Limited bundles sell out minutes
lenovo legion go rumors,2023-04-10,EU,58,0.29,Supply partners hint AMD refresh
airpods pro 2 usb-c upgrade,2023-05-15,US,56,0.47,Accessory vendors prep cases
meta quest 3 leak,2023-06-12,US,68,0.33,Field testers tease dual-color passthrough
rog ally launch review,2023-07-17,US,63,0.35,Retailers expand extended warranties
iphone 15 pro max titanium,2023-08-21,US,90,0.58,Preorder windows shorten to hours
apple watch double tap demo,2023-09-18,US,66,0.51,Hands-on videos trend
pixel 8 seven year updates,2023-10-09,US,71,0.39,Enterprise buyers revisit fleet plans
black friday tv price tracker,2023-11-13,US,94,0.34,Promo calendars released
vr headset holiday bundles,2023-12-04,US,76,0.33,Retailers pair fitness content
asus zenbook duo 2024 availability,2024-01-15,US,57,0.37,Dual-screen demo tour hits campuses
samsung galaxy s24 ai pack,2024-02-12,US,80,0.55,Unpacked recap highlights ai editing
vision pro launch day setup,2024-02-19,US,78,0.49,Developer labs host onboarding
rog ally x battery mods,2024-03-11,US,52,0.31,Modding community posts teardowns
lenovo legion go oled rumor,2024-04-15,EU,55,0.29,Display chain tracks pilot
meta quest 3 lite leak,2024-05-13,US,60,0.28,Accessory OEMs pitch budget straps
apple watch series 10 redesign,2024-06-10,US,73,0.57,WWDC demos highlight thin bezels
surface laptop 7 arm preorder,2024-06-24,US,51,0.35,Channel briefings cite Copilot push
galaxy z fold6 ai camera,2024-07-15,KR,77,0.46,Samsung labs stream photography kit
iphone 16 pro preorder deposits,2024-08-12,US,93,0.66,Carrier stores highlighting trade-in stacking
macbook air m4 lead times,2024-08-15,US,82,0.49,Online store quotes slip to 2 weeks
prime big deal day echo,2024-09-08,US,64,0.48,Vendors stage promo ASINs
playstation portal 2 wishlist,2024-09-09,US,58,0.34,Retailers poll loyalty members
meta quest 3 holiday bundle,2024-09-16,US,62,0.41,Warehouse clubs buying ahead
google pixel 9 tensor g4,2024-09-23,US,71,0.44,Press briefings underline ai features
