query,date,region,search_index,branding_mix,notable_event
nest thermostat demand response,2021-01-18,US,62,0.42,Utilities expand peak saver credits
arlo ultra 2 floodlight review,2021-03-08,US,48,0.36,DIY installers push bundle kits
ecobee haven annual plan,2021-05-10,CA,44,0.31,Bundled with energy audit promos
ring video doorbell wired supply,2021-08-16,US,67,0.45,Retail resets ahead of Labor Day
nanoleaf lines smarter kit,2021-11-08,US,58,0.37,Holiday influencer program launches
eufy dual cam shipping,2022-01-24,US,52,0.34,Warehouse restock hits
ge smart lighting matter,2022-04-11,US,47,0.41,Matter beta firmware ships
wyze cam v3 pro order,2022-07-18,US,55,0.29,Creator reviews spark conversion
amazon astro invite batch,2022-09-26,US,60,0.33,Robotics pilots reopen
philips hue gradient strip,2022-11-14,EU,63,0.46,Festive installs populate reels
gosund matter smart plug,2023-02-13,US,43,0.27,Value bundles at discounters
leviton second gen dimmers,2023-04-17,US,46,0.31,Builder channel training
nanit pro baby monitor sale,2023-07-10,US,59,0.38,Prime Day countdown incentives
arlo secure backup plan,2023-09-25,US,41,0.3,Subscription refresh draws upsell
google nest audio holiday,2023-11-20,US,71,0.44,Doorbuster preview scheduling
nanoleaf skylight expansion,2024-01-22,US,57,0.39,CES install demos trending
ring battery doorbell plus,2024-03-18,US,52,0.35,Home center bundles add chime
philips hue line refresh,2024-05-20,EU,54,0.4,Matter bridge firmware rolling
govee outdoor string lights,2024-07-08,US,49,0.33,DIY yard videos boost demand
amazon echo 6th gen rumors,2024-08-19,US,65,0.48,Retailers prep early Black Friday sets
