query,date,region,search_index,branding_mix,notable_event
tesla powerwall waitlist,2021-01-25,US,77,0.33,Installers cite inverter shortages
sunrun battery virtual power plant,2021-03-29,US,52,0.29,Pilot states add signups
enphase iq8 microinverter,2021-06-14,US,45,0.26,Distributor webinars fill
generac pwrcell rebate,2021-09-20,US,49,0.31,Hurricane prep fuels quotes
lg chem resu10h recall,2021-11-08,US,42,0.18,Safety notices escalate
sunpower sunvault financing,2022-02-14,US,54,0.35,Dealers highlight low APR
sonnen virtual power agreement,2022-04-25,EU,39,0.27,Utility aggregator adds region
goal zero yeti pro preorder,2022-07-11,US,43,0.3,Overland channel pushes bundles
anker solix balcony battery,2022-09-05,EU,57,0.38,German subsidies underscore payback
eco flow delta 2 shipping,2022-11-28,US,60,0.4,Black Friday run on portable power
jackery explorer pro leak,2023-02-20,US,48,0.25,Retail assortment refresh
blupoint microgrid pilot,2023-05-15,AF,36,0.21,NGO grant cycle announced
tesla megacharger installation,2023-07-24,US,44,0.28,Logistics fleets evaluate
renogy bifacial panel kit,2023-09-18,US,41,0.3,DIY solar forums share builds
eco flow powerstream uk,2023-11-13,EU,46,0.32,Retailers bundle smart plugs
tesla powerwall 3 rumor,2024-02-26,US,71,0.36,Supplier notes integrated inverter
genie smart charger tax credit,2024-04-22,US,38,0.24,Installers highlight rebates
anker solix f3800 review,2024-06-03,US,51,0.31,RV influencers test runtime
eco flow delta lite restock,2024-08-05,US,58,0.36,Hurricane prep drives demand
